source,target,error_indices
The new technologies probably will produce a considerably revolution in some essencial parts of the house,The new technologies probably will produce a considerably revolution in some essential parts of the house,[11]
Is there a possibility of exchanging different currancies to US dollar,Is there a possibility of exchanging different currencies to US dollar,[7]
When you think of shopping it reminds you of going out mostly with friends looking for new things like clothes accesoires etc and buying them,When you think of shopping it reminds you of going out mostly with friends looking for new things like clothes accesoires etc and buying them,[]
Then at the adverstisement stood that performance begin at 19.30,Then at the advertisement stood that performance begin at 19.30,[3]
I was very nervious,I was very nervous,[3]
So this evening was terriable,So this evening was terrible,[4]
Some years ago people especially students had to run to lubraries in order to find a book about something,Some years ago people especially students had to run to libraries in order to find a book about something,[10]
Very often I use Internet and I must say it is very convienient,Very often I use Internet and I must say it is very convienient,[]
With them people do their work more quikly and successfully,With them people do their work more quickly and successfully,[7]
I saw an advertising which seemed very atractive to me,I saw an advertising which seemed very attractive to me,[7]
It 's enbelievable to be late with 45 minutes,It 's unbelievable to be late with 45 minutes,[2]
We stayed together in a host family in the surburb of the city,We stayed together in a host family in the suburb of the city,[9]
The man said it was OK for this time and we get in quite easely we 've made it,The man said it was OK for this time and we get in quite easily we 've made it,[14]
I 'm excited to go on holliday there and thanks to you I will realize a dream that I always wanted to do,I 'm excited to go on holiday there and thanks to you I will realize a dream that I always wanted to do,[6]
On Monday we could first go to the Sience Museum and in the afternoon to Greenwich,On Monday we could first go to the Science Museum and in the afternoon to Greenwich,[8]
Everone knows you because of the journalists so ca n't just ignore them can you,Everyone knows you because of the journalists so ca n't just ignore them can you,[0]
I am writing to you because of the unpleasent evening I have spent recently,I am writing to you because of the unpleasant evening I have spent recently,[8]
I would like to write how it has influented my daily life,I would like to write how it has influenced my daily life,[8]
I am a student of a technical univercity,I am a student of a technical university,[7]
The computer is helpfull when I want to contact somebody very fast,The computer is helpful when I want to contact somebody very fast,[3]
The second think is that when I neaded a phone card to call somebody I had to stay in a long queue,The second think is that when I needed a phone card to call somebody I had to stay in a long queue,[7]
I knew I could not do any moviment for my safety but I did and for my surprise It run away,I knew I could not do any movement for my safety but I did and for my surprise It run away,[7]
Since I am a student I have to follow the vacation programm of my school which means that I would only be able to travel during the month of July,Since I am a student I have to follow the vacation programme of my school which means that I would only be able to travel during the month of July,[11]
To whome it may concern,To whom it may concern,[1]
With all the dissatisfuction above therefore I would like to ask for some of my money back as my evening was not what it would have to be,With all the dissatisfaction above therefore I would like to ask for some of my money back as my evening was not what it would have to be,[3]
She found familier faces on the other side of the street,She found familiar faces on the other side of the street,[2]
Home might be a mixture with moden styles and natural view as well,Home might be a mixture with modern styles and natural view as well,[6]
These days a lot of contries have been worried about lands that ca n't have enough place to build houses,These days a lot of countries have been worried about lands that ca n't have enough place to build houses,[5]
Because we are living in computerlised life so we 'll able to do most things at home or these flats'll have these places as well,Because we are living in computerised life so we 'll able to do most things at home or these flats'll have these places as well,[5]
Only who gets good marks can take part in theese activities so sport activities are seen as a prize so while the students are playing basket ball tennis volleyball or they are swimming you can see satisfaction on their faces and our volleyball team is excellent,Only who gets good marks can take part in these activities so sport activities are seen as a prize so while the students are playing basket ball tennis volleyball or they are swimming you can see satisfaction on their faces and our volleyball team is excellent,[9]
Be carefull my own technology can kill me,Be careful my own technology can kill me,[1]
The only convinient time to travel is in July,The only convenient time to travel is in July,[2]
Greatefully,Gratefully,[0]
I am also writting to make a suggestion and to give my opinion for next 's year festival,I am also writing to make a suggestion and to give my opinion for next 's year festival,[3]
I could not listen to one of my favorite classic concert La Moldava by Smetana,I could not listen to one of my favourite classic concert La Moldava by Smetana,[8]
In Italy there are n't a lot of rules at school and they are n't very stricht,In Italy there are n't a lot of rules at school and they are n't very strict,[16]
Unfortunatly I am a very disappointed about organisation in your company,Unfortunately I am a very disappointed about organisation in your company,[0]
Firsty the musical show started not at 7.30 p.m. but 45 minutes later,Firstly the musical show started not at 7.30 p.m. but 45 minutes later,[0]
I do n't know it is a typical situation in the Circle Theatrer that is promised much more then the people can get for their money or it was on June 7 my visit only but I am not agree with such situation and would ask you for my money back my bank account number is enclosed,I do n't know it is a typical situation in the Circle Theatre that is promised much more then the people can get for their money or it was on June 7 my visit only but I am not agree with such situation and would ask you for my money back my bank account number is enclosed,[12]
Secondely we can do our jobs today more efficient,Secondly we can do our jobs today more efficient,[0]
I found your advertisement in the tourism officis and how the musical Over the rainbow seemed to be a good option I choose it,I found your advertisement in the tourism offices and how the musical Over the rainbow seemed to be a good option I choose it,[7]
We could immediatly see that it was broken,We could immediately see that it was broken,[2]
All syntetic material will be uncomfortable for these people,All synthetic material will be uncomfortable for these people,[1]
Women will prefere the long skirts and short blouses and jackets,Women will prefer the long skirts and short blouses and jackets,[2]
Men will wear as usualy a suit,Men will wear as usual a suit,[4]
As we have seen the advertisment of the programmed the school set for us as a farewell activities we are very appreciate and would like to thank for your kindness as all of them are very interesting and give us a chance to meet and join the other class which we hardly done it before,As we have seen the advertisement of the programmed the school set for us as a farewell activities we are very appreciate and would like to thank for your kindness as all of them are very interesting and give us a chance to meet and join the other class which we hardly done it before,[5]
However the truth was a little bit diffrent,However the truth was a little bit different,[7]
We were thinking is so many other activites to relax and enjoy ourself then sunbathing on the beach,We were thinking is so many other activities to relax and enjoy ourself then sunbathing on the beach,[7]
The sky went completly black so at first it was difficult to see where everybody is,The sky went completely black so at first it was difficult to see where everybody is,[3]
I look around and I relised one friend of mine is still in the see and fighting with storm trying to get to the side,I look around and I realised one friend of mine is still in the see and fighting with storm trying to get to the side,[5]
I 've seen your advertisment which had recommended the play Over the rainbow and I enjoyed it very much,I 've seen your advertisement which had recommended the play Over the rainbow and I enjoyed it very much,[4]
On the advertisment was written DISCOUNTS AVAILABLE shall I ask you one question Why they were n't available,On the advertisement was written DISCOUNTS AVAILABLE shall I ask you one question Why they were n't available,[2]
Everybody were schocked and I was trying to keep the faith,Everybody were shocked and I was trying to keep the faith,[2]
Nevertheless after the show I was very hungry so I went to the theatre restarrant and what I 've seen,Nevertheless after the show I was very hungry so I went to the theatre restaurant and what I 've seen,[14]
I feel honoured to write this letter and I feel the oportunity,I feel honoured to write this letter and I feel the opportunity,[11]
Your faithfuly,Your faithfully,[1]
The main adventage is that it provides you all the informations that you need,The main advantage is that it provides you all the informations that you need,[2]
I saw the advertisement for the International Arts Festival wich is a great idea,I saw the advertisement for the International Arts Festival which is a great idea,[9]
Yours sincerly,Yours sincerely,[1]
Firstly I want to congratualate you for the festival,Firstly I want to congratulate you for the festival,[4]
I have a suprise for you,I have a surprise for you,[3]
Shopping is not always enjeyable,Shopping is not always enjoyable,[4]
Secendly the show started at 20.15,Secondly the show started at 20.15,[0]
Your faithfull,Your faithfully,[1]
This was the reason whe we were horrible troubles with police,This was the reason why we were horrible troubles with police,[4]
There was a secret place when robber keept stolen gold from bank,There was a secret place when robber kept stolen gold from bank,[7]
Our class really appreciate for preparing this programme especially for Monday 's atraction,Our class really appreciate for preparing this programme especially for Monday 's atraction,[]
Nowedays famous people do n't have an easy life,Nowadays famous people do n't have an easy life,[0]
By chosing this style of life they should realise how their life would look like,By choosing this style of life they should realise how their life would look like,[1]
On the other hand their life has no privaty,On the other hand their life has no privaty,[]
We think we 'll find one free hour befor the River trip,We think we 'll find one free hour before the River trip,[8]
For accomodation I would prefer to have a log cabin it would be better to let money or anything without thinking of theft I 've always dreamed about climbing but I never have the opportunity to discover this sport,For accommodation I would prefer to have a log cabin it would be better to let money or anything without thinking of theft I 've always dreamed about climbing but I never have the opportunity to discover this sport,[1]
I have alredy thought about a changing of the programme,I have already thought about a changing of the programme,[2]
But the worst thing in London 's newest and best musical show as you called it was the abscentness of Danny Brook,But the worst thing in London 's newest and best musical show as you called it was the abscentness of Danny Brook,[]
That was supposed to be a joke from my coleagues,That was supposed to be a joke from my coleagues,[]
I enjoyied it and here are some feelings and advice for next year,I enjoyed it and here are some feelings and advice for next year,[1]
They are much more confortable than tents,They are much more comfortable than tents,[4]
Appart from calling them I also helped building up the stage and took care of the lights,Apart from calling them I also helped building up the stage and took care of the lights,[0]
I can tell you that it was a wonderfull experience,I can tell you that it was a wonderful experience,[8]
The advirtisement I had read did not match the performance,The advertisement I had read did not match the performance,[1]
Today it is used practically in all spheres and its influence on people is not unnoticable,Today it is used practically in all spheres and its influence on people is not unnoticeable,[15]
I am writing to tell you that the students of my class have seen an advertisment about The London Fashion And Leisure Show,I am writing to tell you that the students of my class have seen an advertisement about The London Fashion And Leisure Show,[15]
There were laisers all over the place with which I had to be careful with,There were lasers all over the place with which I had to be careful with,[2]
Secondaly because we do not have to pay for the tickets,Secondly because we do not have to pay for the tickets,[0]
We have already orgonised our visit new programme,We have already organised our visit new programme,[3]
We are looking foraward to hearing from you,We are looking forward to hearing from you,[3]
What we really need in the next millenium is love that is what will keep all family together and forever,What we really need in the next millennium is love that is what will keep all family together and forever,[7]
The houses will change because of new technologe what may make our live more comfortable,The houses will change because of new technology what may make our live more comfortable,[7]
The home of the Future for me is a place of hapinest,The home of the Future for me is a place of hapinest,[]
We can not aware future technologe but we might still have some feelings to eachothers,We can not aware future technology but we might still have some feelings to eachothers,[5]
Since we are kids people tell us stories with two sides in conflit the good and the bad side,Since we are kids people tell us stories with two sides in conflict the good and the bad side,[12]
What was more it closed because of refurishing,What was more it closed because of refurishing,[]
I have been imagining where another contries are like England,I have been imagining where another countries are like England,[6]
I am still a student and I saw in the advertisment that there were some discounts available,I am still a student and I saw in the advertisement that there were some discounts available,[10]
The first thing I do every day when I get up is to prepare fantastic cappuccino with my coffe machine,The first thing I do every day when I get up is to prepare fantastic cappuccino with my coffe machine,[]
During all the day I speak with the majority of my collegues by telephone or e mail,During all the day I speak with the majority of my colleagues by telephone or e mail,[11]
If I haven't enough time to cook I prepare my meal using my fantastic microwave hoven,If I haven't enough time to cook I prepare my meal using my fantastic microwave oven,[15]
The home of the Futere,The home of the Future,[4]
The technologi is changing very fast and at the same moment as I 'm writing my article about the future maybe technologists have made a new owen which co operate with your refrigerator and has in the programme to make dinner for you every day without that you have to do anything,The technologi is changing very fast and at the same moment as I 'm writing my article about the future maybe technologists have made a new oven which co operate with your refrigerator and has in the programme to make dinner for you every day without that you have to do anything,[26]
I think that everyone should not think just about the positive sides with technologi but also the negative,I think that everyone should not think just about the positive sides with technology but also the negative,[13]
We all are exited about the programm you 've prepared for us especially about the visiting the National Art gallery,We all are exited about the programme you 've prepared for us especially about the visiting the National Art gallery,[6]
We have seen an advertisment for the London Fashion and Leisure Show in a newspaper,We have seen an advertisement for the London Fashion and Leisure Show in a newspaper,[4]
We think it could be great opportunity for us because we 'll see the fashion show might shop for leisure and sports wear and all girls in our class are intrested in new styles in make up and hairdressing,We think it could be great opportunity for us because we 'll see the fashion show might shop for leisure and sports wear and all girls in our class are interested in new styles in make up and hairdressing,[30]
I AM WRITIN TO YOU IN ORDER TO GIVE A REPLY TO THE KIND LETTER I RECEIVED FROM YOU,I AM WRITING TO YOU IN ORDER TO GIVE A REPLY TO THE KIND LETTER I RECEIVED FROM YOU,[2]
I CANNOT EXPRESS HOW THANFUL I AM FOR THIS BEAUTIFUL PRIZE,I CANNOT EXPRESS HOW THANKFUL I AM FOR THIS BEAUTIFUL PRIZE,[4]
I HAVE CHOOSEN THOSE BECAUSE I AM QUITE GOOD PLAYING BASKETBALL AND I SING EVERY WEEKEND IN THE CHOIR OF THE LOCAL CHURCH AS WELL,I HAVE CHOSEN THOSE BECAUSE I AM QUITE GOOD PLAYING BASKETBALL AND I SING EVERY WEEKEND IN THE CHOIR OF THE LOCAL CHURCH AS WELL,[2]
I HOPE YOU WILL ABLE TO ANSWER ALL MY QUARIES,I HOPE YOU WILL ABLE TO ANSWER ALL MY QUERIES,[9]
THANKS FOR THE KIND LETTER YOU SEND ME LAS WEEK,THANKS FOR THE KIND LETTER YOU SEND ME LAST WEEK,[8]
BUT TO MAKE THE THING BETTER I WAS CHOOSEN TO HELP THE BAND AND THE ORGANISERS OF THE CONCERT,BUT TO MAKE THE THING BETTER I WAS CHOSEN TO HELP THE BAND AND THE ORGANISERS OF THE CONCERT,[8]
I am writting you in order to obtain you my money back concerning the musical show OVER THE RAINBOW,I am writing you in order to obtain you my money back concerning the musical show OVER THE RAINBOW,[2]
It would be any day but please let me know nearner the time,It would be any day but please let me know nearer the time,[10]
I want to know if I can take my celular phone too,I want to know if I can take my cellular phone too,[9]
We had preparred quiet a long time ago this travel to the capital and spared a lot of money as well,We had prepared quiet a long time ago this travel to the capital and spared a lot of money as well,[2]
When we saw your leaflet mentionned London 's newest and best musical show we were so enthusiastic and curious that we bought immediately the tickets,When we saw your leaflet mentioned London 's newest and best musical show we were so enthusiastic and curious that we bought immediately the tickets,[5]
I am writting to complain about I am really disappointed your musical show which is over the rainbow on last week,I am writing to complain about I am really disappointed your musical show which is over the rainbow on last week,[2]
I am writting composition about How has modern technology changed your daily life this is our question,I am writing composition about How has modern technology changed your daily life this is our question,[2]
These modern techonology get closer between person to another person get close between worldwide so that these modern technology changed our daily life so diffarent,These modern technology get closer between person to another person get close between worldwide so that these modern technology changed our daily life so diffarent,[2]
First of all I would like to travel only in July because I am going to work in Aougust to earn money and after from September to June I go to university as usual,First of all I would like to travel only in July because I am going to work in August to earn money and after from September to June I go to university as usual,[18]
About accomodation at Camp California I would rather be in a tent than in a log cabin because in July the weather is really good and when I am in a tent I feel closer of nature,About accommodation at Camp California I would rather be in a tent than in a log cabin because in July the weather is really good and when I am in a tent I feel closer of nature,[1]
That show was n't as it supposed to be and it is for that reason that I am writting to you,That show was n't as it supposed to be and it is for that reason that I am writing to you,[18]
I am writting to ask a refund of the 55 which I spent on the ticket for the miserable show,I am writing to ask a refund of the 55 which I spent on the ticket for the miserable show,[2]
Every time more machines help doctors and nurses with their difficult tascs,Every time more machines help doctors and nurses with their difficult tasks,[11]
Going for shopping is a good thing when you do n't know what to do but it has also many disavantages,Going for shopping is a good thing when you do n't know what to do but it has also many disadvantages,[20]
I am writting to complain about the musical show at the Circle Theatre,I am writing to complain about the musical show at the Circle Theatre,[2]
By the use of car I do not only get an easy way to move but I destroy my enviroment,By the use of car I do not only get an easy way to move but I destroy my enviroment,[]
Edi Vedder even talked to me about their programms,Edi Vedder even talked to me about their programmes,[8]
My golf teacher is my father and I 've only played in a practicing centre but my father and his friends say I have good talent of golf,My golf teacher is my father and I 've only played in a practising centre but my father and his friends say I have good talent of golf,[13]
Firstly we should defnitely put the news review lesson because we start every morning with that class and it is where we have a lot of discussion,Firstly we should definitely put the news review lesson because we start every morning with that class and it is where we have a lot of discussion,[3]
Secondly time starts at 19:30 on the leafet but it actually started at 20:15,Secondly time starts at 19:30 on the leaflet but it actually started at 20:15,[7]
It said on the leafet that your perfect evening out while it was not at all,It said on the leaflet that your perfect evening out while it was not at all,[4]
She was so frighten and sad that she had no energry,She was so frighten and sad that she had no energy,[10]
Unfourtunately it is not so cheap,Unfortunately it is not so cheap,[0]
And you need some imformation from me,And you need some information from me,[4]
We hope to see you at the party and have a wonderfull time together,We hope to see you at the party and have a wonderful time together,[11]
It means swimming at the wonderfull beaches tasting the delicious foods ad having wonderful time every day and every night with your friends,It means swimming at the wonderful beaches tasting the delicious foods ad having wonderful time every day and every night with your friends,[5]
I am writing to complain about the musical show OVER THE RAINBOW and also about the servic,I am writing to complain about the musical show OVER THE RAINBOW and also about the servic,[]
Sacondly in your advertisement I read Times 14.30 and 19.30,Secondly in your advertisement I read Times 14.30 and 19.30,[0]
I look farward to hearing from you in the very near future to offer me the money back,I look forward to hearing from you in the very near future to offer me the money back,[2]
After that a being climed out from the potato,After that a being climbed out from the potato,[4]
I could not belive my ears,I could not believe my ears,[3]
The being moved its hand farward and,The being moved its hand forward and,[5]
Immediantely after I heard And do n't forget your homework,Immediately after I heard And do n't forget your homework,[0]
Moreover there will be a demostration of a modern make up and new different shaking hairstyles,Moreover there will be a demonstration of a modern make up and new different shaking hairstyles,[5]
I look foward to hearing from you in the near future,I look forward to hearing from you in the near future,[2]
The wind was blowing and the heavy rain was drumming agaist our bedroom window,The wind was blowing and the heavy rain was drumming against our bedroom window,[10]
Techology is always getting better,Technology is always getting better,[0]
And it is responsable for many changes in my life and I think I would n't be able to live without it anymore,And it is responsible for many changes in my life and I think I would n't be able to live without it anymore,[3]
I also got recently a celular phone and I do n't now I lived so long without one because it help to solve the problems so quickly it 's really amazing,I also got recently a cellular phone and I do n't now I lived so long without one because it help to solve the problems so quickly it 's really amazing,[5]
I am looking forward to receiving your answer and do n't forget that it is a surprice birthday party,I am looking forward to receiving your answer and do n't forget that it is a surprise birthday party,[16]
I would like to know if is necesary for me to bring some money or if we will have time to visit the City about the clothes I have to bring some winter clothes,I would like to know if is necessary for me to bring some money or if we will have time to visit the City about the clothes I have to bring some winter clothes,[7]
I was asked to put in order all the chair for the singer this was only in the begining after that I need to control all the microfons,I was asked to put in order all the chair for the singer this was only in the begining after that I need to control all the microfons,[]
Actually this happened because the most things I saw were differend from what the advertisement had been written,Actually this happened because the most things I saw were different from what the advertisement had been written,[10]
Unfortunatly Pat was n't very good at keeping secrets,Unfortunately Pat was n't very good at keeping secrets,[0]
I would like to have an accomodation in log cabin because I think it is more comfortable than a tent,I would like to have an accommodation in log cabin because I think it is more comfortable than a tent,[6]
So as we can see shopping is not always enjoable,So as we can see shopping is not always enjoable,[]
For weeks I 've been planing to go to this threatre with some close relatives and friends but the problems that we had made this perfect night a disaster has all of us,For weeks I 've been planing to go to this theatre with some close relatives and friends but the problems that we had made this perfect night a disaster has all of us,[10]
To begin with on your advertisment you say that Danny Brooks will be starring the show but instead their was a different actor which made us very disappointed,To begin with on your advertisement you say that Danny Brooks will be starring the show but instead their was a different actor which made us very disappointed,[5]
Nowdays women were really short skirts short t shirts short tops and cut their hair short just like men,Nowadays women were really short skirts short t shirts short tops and cut their hair short just like men,[0]
People will wear all those clothes that expensive designers designe but nowone wears them,People will wear all those clothes that expensive designers design but nowone wears them,[9]
I write to you because last night I expected to pass a wonderful evening and unfortunatly I was disappointing a lote,I write to you because last night I expected to pass a wonderful evening and unfortunately I was disappointing a lote,[15]
The first was very early at 2:30 and the ather at 7:30,The first was very early at 2:30 and the other at 7:30,[9]
I believe that I am lake that I belong to that centure,I believe that I am lake that I belong to that century,[11]
First I can say about the combuter,First I can say about the computer,[6]
About the T.V. I ingoing spend many ours in T.V. It makes me to relaxe and stay same hours along,About the T.V. I ingoing spend many ours in T.V. It makes me to relax and stay same hours along,[14]
Exactly happend and with telephone,Exactly happened and with telephone,[1]
I am writting to complain about what it says in the advertisement is not true,I am writing to complain about what it says in the advertisement is not true,[2]
3 You recommend that there will be the resturant after the show,3 You recommend that there will be the restaurant after the show,[8]
This is not nomally what people wear everyday,This is not normally what people wear everyday,[3]
Wherever you go every one would love you because of your troussers would clean all the rubbish that are on the road,Wherever you go every one would love you because of your trousers would clean all the rubbish that are on the road,[11]
If I can choose my accomodation I prefer living in tent,If I can choose my accommodation I prefer living in tent,[5]
I prefer this accomodation because I think it 's more easy to met people when you live in tent near them than when you live in log cabin,I prefer this accommodation because I think it 's more easy to met people when you live in tent near them than when you live in log cabin,[3]
I WOULD LIKE TO ASK YOU IF IT 'S NECESARY TO TAKE MONEY FOOD AND CLOTHES WITH ME,I WOULD LIKE TO ASK YOU IF IT 'S NECESSARY TO TAKE MONEY FOOD AND CLOTHES WITH ME,[9]
FOR CULTUR LESSONS WE DON'T NEED TO GO SO BACK IN TIMES FOR THE LAST 60 YEARS OUR CULTURES HAVE BEEN CHANGING ENORMOUSLY WE CAN TALK ABOUT COMPUTERS WARS CARS WEAPONS ETC,FOR CULTURE LESSONS WE DON'T NEED TO GO SO BACK IN TIMES FOR THE LAST 60 YEARS OUR CULTURES HAVE BEEN CHANGING ENORMOUSLY WE CAN TALK ABOUT COMPUTERS WARS CARS WEAPONS ETC,[1]
I have received a letter from you saing that I have won the first prize in your competition and you need some information from me,I have received a letter from you saying that I have won the first prize in your competition and you need some information from me,[7]
They liked me so much and invited me to be the responsable with lights and sound,They liked me so much and invited me to be the responsible with lights and sound,[11]
I told then that I will think about it but I belive I will accept the job,I told then that I will think about it but I believe I will accept the job,[11]
The most increible part was the laser show,The most incredible part was the laser show,[2]
They were drowing a lot of things in the sky during the concert,They were drawing a lot of things in the sky during the concert,[2]
I 'm shure that you are going to love it,I 'm sure that you are going to love it,[2]
I appreciate that opportuniti that you are giving to me and I m very thankful to you guys,I appreciate that opportunity that you are giving to me and I m very thankful to you guys,[3]
Last Sanday my friends and I saw that advertisement about the theatre you were supposed to present,Last Sunday my friends and I saw that advertisement about the theatre you were supposed to present,[1]
We waited ther for forty five minutes for it to start,We waited there for forty five minutes for it to start,[2]
We really got bored as all the other peaple there,We really got bored as all the other people there,[8]
And then delate forty five minuites to present the show,And then delate forty five minutes to present the show,[5]
My friends and I demand our money bacck real soon,My friends and I demand our money back real soon,[7]
But I could se that his face was happy and he did n't tell lies,But I could see that his face was happy and he did n't tell lies,[3]
This is also another reason of heard attacts,This is also another reason of heard attacks,[7]
On the advertisment it also said you could visit our restaurant after the show and that is what I did but when I got there it was shut for no reason,On the advertisement it also said you could visit our restaurant after the show and that is what I did but when I got there it was shut for no reason,[2]
Pat could n't resist herself and told her brother Jacob he was quite shocked about the news because he missunderstood,Pat could n't resist herself and told her brother Jacob he was quite shocked about the news because he missunderstood,[]
It was all a missunderstanding,It was all a misunderstanding,[4]
I can not bear when somebody says something and then does just the opposit way,I can not bear when somebody says something and then does just the opposite way,[13]
It must be our decission whether to stay and eat there or not,It must be our decision whether to stay and eat there or not,[4]
HOW HAS TECHNOLOGY CHANGED OUR DAYLY LIFES,HOW HAS TECHNOLOGY CHANGED OUR DAILY LIFES,[5]
As a conclution of that horrible evening I decided to visit your theatre restaurant once the show had finished but what a surprise when I found it closed,As a conclusion of that horrible evening I decided to visit your theatre restaurant once the show had finished but what a surprise when I found it closed,[2]
In the exam day everybody anwered correctly to each question,In the exam day everybody answered correctly to each question,[5]
Secondly although the long cabins appeal to me I would prefer the tents because I think it is more comfortable and atractive,Secondly although the long cabins appeal to me I would prefer the tents because I think it is more comfortable and atractive,[]
Forthly that product is too expensive for you and the last problem is you buy to much things but you have not got your own car so you have to carry big boxes by your self,Fourthly that product is too expensive for you and the last problem is you buy to much things but you have not got your own car so you have to carry big boxes by your self,[0]
I am looking foward to hearing from you,I am looking forward to hearing from you,[3]
I always want to go and se USA,I always want to go and see USA,[6]
They mixed up the our traditonal and pop music,They mixed up the our traditional and pop music,[5]
All was very interresting but what I particularly liked about the experience is the human relations,All was very interesting but what I particularly liked about the experience is the human relations,[3]
I prefer to stay in a tent as I go campping every summer and am used to slipping in tents,I prefer to stay in a tent as I go camping every summer and am used to slipping in tents,[10]
I 'm very good at swimming as I have been a member of different swimming clubs since I was 6 and I chose photograthy because I have a new camera and want somebody to teach me how to use it,I 'm very good at swimming as I have been a member of different swimming clubs since I was 6 and I chose photography because I have a new camera and want somebody to teach me how to use it,[23]
Other thing is that in the ticket apears that discounts were available but when I asked for it there was no one,Other thing is that in the ticket appears that discounts were available but when I asked for it there was no one,[7]
I 'll never return again because of the bad service you ofer,I 'll never return again because of the bad service you offer,[11]
Truely,Truly,[0]
Seen my hole life I can say the moden technology has changed my daily life in many ways,Seen my hole life I can say the modern technology has changed my daily life in many ways,[8]
It has in some way separated the family 's life making all of us be worried about ower own things,It has in some way separated the family 's life making all of us be worried about ower own things,[]
Howeve we decided to have the job because of good money,However we decided to have the job because of good money,[0]
Howeve it was great job I haven't hade such experience,However it was great job I haven't hade such experience,[0]
I was very disapointed to find out that most of the things said in the advertisement for the show were not true,I was very disappointed to find out that most of the things said in the advertisement for the show were not true,[3]
To let you arrange the details of your programe I 'm going to give my answers to you,To let you arrange the details of your programme I 'm going to give my answers to you,[8]
About accomodation I prefer in tents to log cabins,About accommodation I prefer in tents to log cabins,[1]
At that time I took the course which covered all the 4 kinds of strocks,At that time I took the course which covered all the 4 kinds of strocks,[]
And please tell me how much money I am supposed to need excluding transport and accomodation,And please tell me how much money I am supposed to need excluding transport and accommodation,[15]
Concerning the accomodation I prefer to live in log cabins finding them much more comfortable than tents,Concerning the accommodation I prefer to live in log cabins finding them much more comfortable than tents,[2]
Your state in your advertisment that he would come on stage but instead of him someone else turned up,Your state in your advertisement that he would come on stage but instead of him someone else turned up,[4]
Luckely I could keep my secret for a couple of days but then it became urgent and I needed someone to talk to,Luckily I could keep my secret for a couple of days but then it became urgent and I needed someone to talk to,[0]
This is something I will never ever foget,This is something I will never ever forget,[7]
I could n't believe that I had met that superstar that was dancing in front of a crouded soccer stadium,I could n't believe that I had met that superstar that was dancing in front of a crowded soccer stadium,[17]
The advertisement looked pretty interesting and I dicided to go to the theatre to watch this musical show,The advertisement looked pretty interesting and I decided to go to the theatre to watch this musical show,[7]
Unfortunately it was not which made me even angier,Unfortunately it was not which made me even angier,[]
Then I drove very slowly very ofen crossing the white line on the road,Then I drove very slowly very often crossing the white line on the road,[6]
I looked at the mirror and I saw how my friends were lauthing,I looked at the mirror and I saw how my friends were laughing,[12]
Pat appologized me for not keeping the secrets,Pat apologized me for not keeping the secrets,[1]
An admiree,An admirer,[1]
I am writing to inform you about the differences between the advertisment and the real show,I am writing to inform you about the differences between the advertisement and the real show,[11]
I would like to send you some futher information which you need,I would like to send you some further information which you need,[7]
I would like to experience a reall camp again,I would like to experience a real camp again,[6]
We would like to belive that shopping is the most wonderful part of our life,We would like to believe that shopping is the most wonderful part of our life,[4]
I am writting to you to give your my opinion about your festival,I am writing to you to give your my opinion about your festival,[2]
I am writting to you to answer at your question about school rules and what I am and I am not allowed to do at home,I am writing to you to answer at your question about school rules and what I am and I am not allowed to do at home,[2]
I believe that it was a great idea to organise such a festivel connected with art and culture,I believe that it was a great idea to organise such a festival connected with art and culture,[12]
What is more there was a wide vareiety of music Although the artists were supposed to be from all counties there were only six nationalities,What is more there was a wide variety of music Although the artists were supposed to be from all counties there were only six nationalities,[7]
I hope that it 'll claryfy your questions and doubts,I hope that it 'll clarify your questions and doubts,[5]
I 'm looking foreward to hearing from you,I 'm looking forward to hearing from you,[3]
After that they changed the principal actor the one that replaced him was very bad that made us realy angry,After that they changed the principal actor the one that replaced him was very bad that made us realy angry,[]
How has moden technology changed my daily life I think that technology have change my life and everybodies life in many ways,How has modern technology changed my daily life I think that technology have change my life and everybodies life in many ways,[2]
Secondly the time on the leaflet is totaly wrong,Secondly the time on the leaflet is totally wrong,[7]
Finaly last nigh was not perfect evening,Finally last nigh was not perfect evening,[0]
I think the people will wear clothes which are metalic or bright colourful colour with mixture of history and future fashion style in future,I think the people will wear clothes which are metallic or bright colourful colour with mixture of history and future fashion style in future,[9]
Despite my appriciation of all kinds of sports and activities I 'd choose my favourite ones which are swimming and tennis,Despite my appreciation of all kinds of sports and activities I 'd choose my favourite ones which are swimming and tennis,[2]
Another thing I dislike about shopping is some annoying shop assisstants which try to sale any products to the victim entring the door,Another thing I dislike about shopping is some annoying shop assistants which try to sale any products to the victim entring the door,[10]
In Japan I often play Golf but as you know Japanese weather condition is not enough enjoying play Golf but California has good weather which are every day sunshuin hopefuly,In Japan I often play Golf but as you know Japanese weather condition is not enough enjoying play Golf but California has good weather which are every day sunshuin hopefuly,[]
Finaly I have some question,Finally I have some question,[0]
Take care of youself,Take care of yourself,[3]
Hellow I'am very pleased that I have won the first prize in your competition and I want to tell you that it would be better for me to go to your Camp in July because this month I usually have a rest and now I am thinking about it,Hello I'am very pleased that I have won the first prize in your competition and I want to tell you that it would be better for me to go to your Camp in July because this month I usually have a rest and now I am thinking about it,[0]
Now let me tell you about my sports preferances,Now let me tell you about my sports preferences,[8]
